Fuel_Type,Body_Type,transmission,ownerNo,Brand,model,modelYear,price,Insurance_Validity,Kms_Driven,Mileage,Engine,Seats,Color,City
Diesel,SUV,Manual,1,Tata,Tata Nexon,2018,825000.0,Comprehensive,53645.0,21.5,1497,5,White,Bangalore
Petrol,Hatchback,Manual,2,Hyundai,Hyundai Getz,2006,220000.0,Third Party insurance,100000.0,15.3,1341,5,Others,Bangalore
Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,2014,428000.0,Comprehensive,53982.0,26.68,998,5,Others,Bangalore
Diesel,Sedan,Manual,1,Skoda,Skoda Rapid,2014,695000.0,Third Party insurance,110000.0,21.14,1498,5,Black,Bangalore
Petrol,SUV,Manual,2,Ford,Ford Ecosport,2019,930000.0,Third Party insurance,37741.0,15.9,1496,5,White,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Alto 800,2021,455000.0,Comprehensive,17367.0,22.05,796,5,Silver,Bangalore
Diesel,SUV,Manual,1,Hyundai,Hyundai Creta,2017,1195000.0,Comprehensive,94000.0,19.67,1582,5,Grey,Bangalore
Diesel,SUV,Automatic,1,Tata,Tata Harrier,2021,2175000.0,Comprehensive,33700.0,14.6,1956,5,Grey,Bangalore
Petrol,Hatchback,Manual,3,Maruti,Maruti Swift,2014,442000.0,Comprehensive,54601.0,22.38,1197,5,White,Bangalore
Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,2018,690000.0,Third Party insurance,110000.0,28.4,1248,5,Others,Bangalore
Petrol,Hatchback,Manual,2,Maruti,Maruti Celerio,2017,500000.0,Third Party,64000.0,23.1,998,5,Red,Bangalore
Diesel,Sedan,Automatic,1,BMW,BMW 3 Series GT,2016,3395000.0,Comprehensive,40525.0,21.76,1995,5,White,Bangalore
Diesel,Sedan,Manual,1,Maruti,Maruti Ciaz,2015,650000.0,Third Party insurance,100000.0,26.21,1248,5,White,Bangalore
Petrol,Hatchback,Automatic,2,Honda,Honda Jazz,2016,537000.0,Comprehensive,44154.0,19.0,1199,5,White,Bangalore
Diesel,MUV,Manual,1,Renault,Renault Lodgy,2016,750000.0,Third Party insurance,70000.0,19.98,1461,7,White,Bangalore
Petrol,Sedan,Automatic,1,Skoda,Skoda Octavia,2018,1790000.0,Comprehensive,79000.0,15.1,1798,5,White,Bangalore
Petrol,Hatchback,Manual,2,Tata,Tata Tiago,2017,468000.0,Third Party insurance,68039.0,23.84,1199,5,Orange,Bangalore
Petrol,Hatchback,Manual,2,Maruti,Maruti Ritz,2014,420000.0,Third Party insurance,60000.0,18.5,1197,5,Silver,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2021,920000.0,Third Party insurance,10000.0,20.0,998,5,Others,Bangalore
Petrol,Sedan,Manual,1,Honda,Honda City,2013,533000.0,Third Party,49873.0,16.8,1497,5,Yellow,Bangalore
Petrol,Hatchback,Automatic,3,Volkswagen,Volkswagen Polo,2013,850000.0,Third Party insurance,90000.0,17.2,1197,5,Others,Bangalore
Diesel,Sedan,Manual,2,Skoda,Skoda Rapid,2017,751000.0,Third Party insurance,48960.0,21.13,1498,5,Silver,Bangalore
Diesel,Hatchback,Manual,2,Hyundai,Hyundai Grand i10,2014,388000.0,Third Party insurance,70000.0,24.0,1120,5,Others,Bangalore
Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2013,490000.0,Comprehensive,68000.0,18.5,1197,5,Silver,Bangalore
Diesel,SUV,Manual,1,Mahindra,Mahindra KUV 100,2016,494000.0,Third Party,23017.0,25.32,1198,6,Orange,Bangalore
Diesel,Hatchback,Manual,2,Hyundai,Hyundai i20,2013,525000.0,Comprehensive,83000.0,21.27,1396,5,Brown,Bangalore
Diesel,SUV,Automatic,2,BMW,BMW X3,2016,2890000.0,Comprehensive,92000.0,16.55,1995,5,White,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Wagon R,2018,550000.0,Comprehensive,62139.0,20.51,998,5,Red,Bangalore
Lpg,Hatchback,Manual,1,Hyundai,Hyundai i10,2013,365000.0,Comprehensive,74000.0,19.2,1086,5,Grey,Bangalore
Petrol,Hatchback,Automatic,2,Renault,Renault KWID,2016,420000.0,Comprehensive,26500.0,24.04,999,5,Red,Bangalore
Diesel,Sedan,Automatic,1,Volvo,Volvo S60,2017,1895000.0,Comprehensive,81716.0,27.03,1969,5,Silver,Bangalore
Diesel,Sedan,Automatic,2,Mercedes-Benz,Mercedes-Benz E-Class,2018,5990000.0,Comprehensive,24000.0,17.0,2987,5,White,Bangalore
Petrol,SUV,Automatic,1,Mahindra,Mahindra XUV300,2022,1050000.0,Third Party insurance,10000.0,17.0,1197,5,White,Bangalore
Petrol,SUV,Automatic,1,MG,MG Hector Plus,2021,2075000.0,Comprehensive,18000.0,16.56,1451,6,Black,Bangalore
Petrol,Hatchback,Manual,1,Honda,Honda Brio,2013,394000.0,Third Party,38197.0,19.4,1198,5,Others,Bangalore
Petrol,Hatchback,Automatic,2,Maruti,Maruti Baleno,2017,725000.0,Comprehensive,23000.0,19.56,1197,5,Grey,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Alto K10,2013,240000.0,Third Party insurance,50000.0,20.92,998,5,Red,Bangalore
Petrol,SUV,Automatic,1,Renault,Renault Kiger,2022,835000.0,Third Party insurance,10000.0,19.03,999,5,Others,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2019,695000.0,Third Party insurance,19000.0,18.9,1197,5,Blue,Bangalore
Petrol,SUV,Automatic,1,Kia,Kia Seltos,2020,1725000.0,Comprehensive,14000.0,16.5,1353,5,White,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai EON,2014,330000.0,Comprehensive,29268.0,21.1,814,5,White,Bangalore
Petrol,Sedan,Automatic,1,Volkswagen,Volkswagen Vento,2019,990000.0,Third Party insurance,20000.0,18.19,1197,5,Others,Bangalore
Petrol,Sedan,Manual,1,Toyota,Toyota Yaris,2018,750000.0,Third Party insurance,30000.0,17.1,1496,5,Others,Bangalore
Petrol,Hatchback,Automatic,1,Honda,Honda Jazz,2018,755000.0,Third Party insurance,64374.0,19.0,1199,5,Grey,Bangalore
Diesel,SUV,Manual,1,MG,MG Hector,2021,1750000.0,Third Party insurance,30000.0,17.41,1956,5,Others,Bangalore
Petrol,SUV,Automatic,1,Hyundai,Hyundai Alcazar,2022,2083000.0,Comprehensive,7100.0,14.2,1999,6,White,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i10,2010,271000.0,Comprehensive,43679.0,19.81,1086,5,Silver,Bangalore
Petrol,SUV,Automatic,1,Hyundai,Hyundai Creta,2018,1280000.0,Third Party insurance,40000.0,14.8,1591,5,Others,Bangalore
Diesel,Hatchback,Manual,1,Hyundai,Hyundai i20,2012,436000.0,Third Party,40562.0,22.54,1396,5,Red,Bangalore
Petrol,SUV,Automatic,2,Hyundai,Hyundai Creta,2021,1675000.0,Comprehensive,26500.0,19.260860166288737,1397,5,White,Bangalore
Petrol,SUV,Automatic,1,Hyundai,Hyundai Venue,2019,1250000.0,Third Party insurance,20000.0,18.15,998,5,Others,Bangalore
Diesel,SUV,Automatic,1,Mahindra,Mahindra XUV500,2016,1350000.0,Third Party insurance,58600.0,16.0,2179,7,Silver,Bangalore
Petrol,SUV,Automatic,1,Volkswagen,Volkswagen T-Roc,2020,2225000.0,Comprehensive,42050.0,18.4,1498,5,White,Bangalore
Petrol,Hatchback,Automatic,1,Maruti,Maruti Celerio,2015,475000.0,2,65017.0,23.1,998,5,White,Bangalore
Diesel,Sedan,Automatic,2,BMW,BMW 3 Series,2008,600000.0,Third Party insurance,80000.0,13.2,1995,5,Others,Bangalore
Petrol,SUV,Automatic,1,Jeep,Jeep Compass,2021,2450000.0,Third Party insurance,30000.0,14.1,1368,5,Others,Bangalore
Petrol,SUV,Automatic,1,Kia,Kia Seltos,2020,1625000.0,Third Party insurance,20000.0,16.5,1353,5,Others,Bangalore
Diesel,Sedan,Automatic,1,Skoda,Skoda Superb,2014,1650000.0,Third Party insurance,36349.0,17.2,1968,5,White,Bangalore
Petrol,Hatchback,Manual,3,Hyundai,Hyundai i10,2009,249000.0,Third Party insurance,80000.0,20.36,1197,5,Others,Bangalore
Petrol,SUV,Manual,2,Renault,Renault Duster,2014,630000.0,Third Party insurance,83394.0,13.24,1598,5,Red,Bangalore
Diesel,SUV,Automatic,2,Audi,Audi Q5,2016,2599000.0,Third Party insurance,30000.0,14.16,1968,5,Others,Bangalore
Petrol,Hatchback,Manual,1,Maruti,Maruti Alto K10,2017,385000.0,Third Party,52204.0,24.39,998,5,Silver,Bangalore
Petrol,Hatchback,Manual,3,Hyundai,Hyundai i20,2012,300000.0,Third Party insurance,110000.0,17.0,1197,5,Red,Bangalore
Diesel,SUV,Automatic,1,Ford,Ford Endeavour,2017,2975000.0,Third Party insurance,89000.0,10.91,3198,7,Black,Bangalore
Petrol,Hatchback,Manual,2,Maruti,Maruti Alto 800,2014,276000.0,Comprehensive,29813.0,22.05,796,5,Others,Bangalore
Petrol,Hatchback,Manual,1,Ford,Ford Figo,2018,500000.0,Third Party insurance,30000.0,18.16,1196,5,Gray,Bangalore
Petrol,Hatchback,Automatic,1,Maruti,Maruti Ignis,2020,730000.0,Comprehensive,13345.0,20.89,1197,5,White,Bangalore
Diesel,SUV,Automatic,1,Hyundai,Hyundai Alcazar,2022,2245000.0,Comprehensive,17100.0,18.1,1498,7,Grey,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2014,399000.0,Comprehensive,75000.0,18.9,1197,5,Grey,Bangalore
Petrol,Hatchback,Manual,2,Hyundai,Hyundai i10,2011,312000.0,Comprehensive,75523.0,20.36,1197,5,Red,Bangalore
Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,2015,1275000.0,Comprehensive,47000.0,16.0,2179,7,Silver,Bangalore
Diesel,SUV,Manual,1,Tata,Tata Harrier,2022,1990000.0,Comprehensive,36500.0,16.35,1956,5,White,Bangalore
Petrol,MUV,Manual,1,Renault,Renault Triber,2020,719000.0,Comprehensive,28253.0,20.0,999,7,Silver,Bangalore
Diesel,SUV,Manual,1,Hyundai,Hyundai Creta,2016,1260000.0,Third Party insurance,50000.0,19.67,1582,5,White,Bangalore
Petrol,Hatchback,Manual,2,Hyundai,Hyundai i10,2010,300000.0,Third Party insurance,90000.0,20.36,1197,5,Others,Bangalore
Diesel,SUV,Automatic,2,BMW,BMW X5,2016,3981000.0,Third Party insurance,70000.0,15.97,2993,5,Others,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2016,627000.0,Comprehensive,52571.0,18.6,1197,5,Grey,Bangalore
Diesel,Sedan,Automatic,2,BMW,BMW 3 Series,2010,1300000.0,Third Party insurance,70000.0,16.07,1995,5,Others,Bangalore
Petrol,Sedan,Manual,1,Honda,Honda City,2015,672000.0,Comprehensive,61993.0,17.4,1497,5,Silver,Bangalore
Diesel,SUV,Automatic,1,Hyundai,Hyundai Tucson,2017,1825000.0,Comprehensive,57000.0,16.38,1995,5,White,Bangalore
Diesel,SUV,Manual,2,Toyota,Toyota Fortuner,2021,3500000.0,Third Party insurance,80000.0,14.24,2755,7,Others,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2013,440000.0,Comprehensive,36359.0,18.5,1197,5,Blue,Bangalore
Diesel,SUV,Manual,2,Tata,Tata Harrier,2019,1460000.0,Third Party insurance,70000.0,17.0,1956,5,Others,Bangalore
Petrol,SUV,Automatic,1,MG,MG Hector,2022,2041000.0,Comprehensive,7500.0,19.260860166288737,1451,5,White,Bangalore
Petrol,Sedan,Automatic,1,Hyundai,Hyundai Verna,2017,1033000.0,Comprehensive,30301.0,17.0,1591,5,Black,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i10,2010,275000.0,Comprehensive,66000.0,20.36,1197,5,Golden,Bangalore
Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2017,676000.0,Comprehensive,56010.0,18.6,1197,5,White,Bangalore
Diesel,SUV,Automatic,1,Mercedes-Benz,Mercedes-Benz GLC,2017,4290000.0,Comprehensive,47000.0,17.9,2143,5,White,Bangalore
