it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,centralVariantId,variantName,price,priceActual,priceSaving,priceFixedText,trendingText.imgUrl,trendingText.heading,trendingText.desc,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,Ownership,Engine Displacement,Transmission,Year of Manufacture,RTO,Engine,Max Power,Torque,Wheel Size,Seats,Mileage,Color,Engine Type,Displacement,Max Power,Max Torque,No of Cylinder,Values per Cylinder,Fuel Suppy System,Turbo Charger,Value Configuration,Compression Ratio,Super Charger,BoreX Stroke,Length,Width,Height,Wheel Base,Kerb Weight,Front Tread,Rear Tread,Gross Weight,Ground Clearance Unladen,Seating Capacity,Steering Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Gear Box,Drive Type,Seating Capacity,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,Alloy Wheel Size,No Door Numbers,Cargo Volumn,Turning Radius,Top Speed,Acceleration,City
0,Diesel,SUV,"1,50,000",Manual,1,1st Owner,Tata,Tata Safari Storme,2013,2876,EX,₹ 3.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2013,Third Party insurance,Diesel,7 Seats,"1,50,000 Kms",First Owner,2179 cc,Manual,2013,UK07,998 CC,68.05bhp,94.14Nm,,5,20.3 kmpl,Others,Kappa Engine,998,68.05bhp@6200rpm,94.14Nm@3500rpm,3.0,4.0,MPFI,No,SOHC,,No,,3515mm,1550mm,1510mm,2380mm,880,1376mm,1458mm,,,,,,,,5 Speed,FWD,5,Power,Disc,Drum,Tubeless,,5,215-litres,4.6 metres,140 Kmph,15 Seconds,Delhi
0,Diesel,SUV,"83,329",Manual,1,1st Owner,Hyundai,Hyundai Venue,2019,6949,SX Opt Diesel BSIV,₹ 8.39 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Nov 2019,Comprehensive,Diesel,5 Seats,"83,329 Kms",First Owner,1396 cc,Manual,2019,HR51,1198 CC,86.7bhp,109Nm,,5,18 kmpl,Silver,i-VTEC Petrol Engine,1198,86.7bhp@6000rpm,109Nm@4500rpm,4.0,4.0,,No,SOHC,,No,,3990mm,1680mm,1505mm,2405mm,950kg,,,,,,,,,,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless,Radial",,4,400-litres,4.5 metres,160 Kmph,15 Seconds,Delhi
0,Petrol,Hatchback,"43,000",Manual,1,1st Owner,Maruti,Maruti Zen Estilo,2008,5765,1.1 LXI BSIII,₹ 1.20 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2008,Third Party insurance,Petrol,5 Seats,"43,000 Kms",First Owner,1061 cc,Manual,2008,,1248 CC,74bhp,190Nm,,5,25.2 kmpl,Red,DDiS Diesel Engine,1248,74bhp@4000rpm,190Nm@2000rpm,4.0,4.0,CRDI,Yes,DOHC,17.6:1,No,69.6 X 82 mm,3840mm,1735mm,1530mm,2450mm,960Kg,,,1405kg,,,,,,,5 Speed,FWD,5,Power,Ventilated Disc,Drum,Tubeless Tyres,,5,204-liters,4.8 metres,155 Kmph,14.8 Seconds,Delhi
0,Petrol,Hatchback,"8,000",Manual,1,1st Owner,Hyundai,Hyundai Grand i10 Nios,2022,7091,Sportz,₹ 7.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2022,Third Party insurance,Petrol,5 Seats,"8,000 Kms",First Owner,1197 cc,Manual,2022,,1497 CC,117.3bhp,145Nm,15,5,17.8 kmpl,White,i VTEC Engine,1497,117.3bhp@6600rpm,145Nm@4600rpm,4.0,4.0,PGM-Fi,No,SOHC,10.3:1,No,73.0 X 89.4 mm,4440mm,1695mm,1495mm,2600mm,1049kg,1480mm,1465mm,,,,,,,,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless,Radial",15,4,510-litres,5.3 metres,195 Kmph,10 Seconds,Delhi
0,Petrol,SUV,"11,404",Automatic,1,1st Owner,Skoda,Skoda Kushaq,2021,8478,1.0 TSI Ambition AT BSVI,₹ 12.84 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jan 2022,Comprehensive,Petrol,5 Seats,"11,404 Kms",First Owner,999 cc,Automatic,2021,UP80,0 CC,127bhp,245Nm,16,5,,Others,,0,127bhp,245Nm,,,,,,,,,3993mm,1811mm,1606mm,2498mm,1400kg,,,,,,,,,,,,5,Electric,Disc,Drum,"Tubeless, Radial",16,5,350,5.1m,,9.9,Delhi
0,Petrol,SUV,"70,000",Manual,2,2nd Owner,Hyundai,Hyundai Creta,2019,8179,1.6 VTVT SX Plus,₹ 8.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,2019,Third Party insurance,Petrol,5 Seats,"70,000 Kms",Second Owner,1591 cc,Manual,2019,HR72,1582 CC,126.2bhp,259.9Nm,17,5,17.01 kmpl,White,U2 CRDI VGT Engine,1582,126.2bhp@4000rpm,259.9Nm@1900-2750rpm,4.0,4.0,CRDi,Yes,DOHC,,No,,4270mm,1780mm,1630mm,2590mm,1320,,,,,,,,,,6 Speed,FWD,5,Power,Disc,Drum,Tubeless,17,5,400-litres,5.3 metres,190 Kmph,10.5 Seconds,Delhi
0,Diesel,Hatchback,"23,000",Manual,1,1st Owner,Tata,Tata Altroz,2023,10226,XZ Diesel,₹ 8.70 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jan 2023,Comprehensive,Diesel,5 Seats,"23,000 Kms",First Owner,1497 cc,Manual,2023,UP16,998 CC,118.35bhp,171.6Nm,16,5,18.15 kmpl,Red,,998,118.35bhp@6000rpm,171.6Nm@1500-4000rpm,3.0,4.0,GDi,Yes,,,,,3995 mm,1770 mm,1605 mm,2500 mm,1440,,,,190mm,,,,,,7-Speed,FWD,5,Power,Disc,Drum,Radial,16,5,350,,,,Delhi
0,Petrol,Hatchback,"19,044",Manual,1,1st Owner,Maruti,Maruti Ignis,2022,7586,Zeta BSVI,₹ 6.34 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2022,Comprehensive,Petrol,5 Seats,"19,044 Kms",First Owner,1197 cc,Manual,2022,HR98,1497 CC,117.3bhp,145Nm,15,5,17.8 kmpl,Others,i VTEC Engine,1497,117.3bhp@6600rpm,145Nm@4600rpm,4.0,4.0,PGM-Fi,No,SOHC,10.3:1,No,73.0 X 89.4 mm,4440mm,1695mm,1495mm,2600mm,1065kg,1480mm,1465mm,,,,,,,,5 Speed,FWD,5,Power,Disc,Drum,"Tubeless,Radial",15,4,510-litres,5.3 metres,195 Kmph,10 Seconds,Delhi
0,Petrol,Sedan,"23,500",Automatic,1,1st Owner,BMW,BMW 7 Series,2017,5547,740Li DPE Signature,₹ 75 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Jun 2017,Comprehensive,Petrol,5 Seats,"23,500 Kms",First Owner,2998 cc,Automatic,2017,HR26,1984 CC,177.01bhp,320Nm,17,5,13.53 kmpl,Blue,TFSI Petrol Engine,1984,177.01bhp@4000-6000rpm,320Nm@1500-3900rpm,4.0,4.0,Direct Injection,Yes,DOHC,,No,,4915mm,2086mm,1455mm,2912mm,1640kg,1627mm,1618mm,2145kg,,,,,,,8 Speed,FWD,5,Power,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",17,4,530-litres,5.95 metres,226 Kmph,8.3 Seconds,Delhi
0,Petrol,SUV,"17,367",Manual,1,1st Owner,Hyundai,Hyundai Creta,2019,6430,1.6 SX,₹ 12.50 Lakh,,,,https://stimg.cardekho.com/used-cars/common/icons/trending.svg,Trending Car!,High chances of sale in next 6 days,Apr 2019,Comprehensive,Petrol,5 Seats,"17,367 Kms",First Owner,1591 cc,Manual,2019,HR26,1497 CC,117.6bhp,145Nm,16,5,17.4 kmpl,Black,i VTEC Engine,1497,117.6bhp@6600rpm,145Nm@4600rpm,4.0,4.0,PGM-Fi,No,SOHC,10.3:1,No,73.0 X 89.4 mm,4440mm,1695mm,1495mm,2600mm,1107kg,1475mm,1465mm,1482kg,,,,,,,CVT,FWD,5,Power,Ventilated Disc,Drum,"Tubeless,Radial",16,4,510,5.3 metres,178.55 kmph,11.90 Seconds,Delhi
